FaixaInicial	FaixaFinal	Quantidade
192430254	192440253	10000
192440254	192450253	10000
192450254	192460253	10000
192460254	192470253	10000
192470254	192480253	10000
192480254	192490253	10000
192490254	192500253	10000
192500254	192510253	10000
192510254	192520253	10000
192520254	192530253	10000
192530254	192540253	10000
192540254	192550253	10000
192550254	192560253	10000
192560254	192570253	10000
192570254	192580253	10000
192580254	192590253	10000
192590254	192600253	10000
192600254	192610253	10000
192610254	192620253	10000
192620254	192630253	10000
192630254	192640253	10000
192640254	192650253	10000
192650254	192660253	10000
192660254	192670253	10000
192670254	192680253	10000
192680254	192690253	10000
192690254	192700253	10000
192700254	192710253	10000
192710254	192720253	10000
192720254	192730253	10000
192730254	192740253	10000
192740254	192750253	10000
192750254	192760253	10000
192760254	192770253	10000
192770254	192780253	10000
192780254	192790253	10000
192790254	192800253	10000
192800254	192810253	10000
192810254	192820253	10000
192820254	192830253	10000
192830254	192840253	10000
192840254	192850253	10000
192850254	192860253	10000
192860254	192870253	10000
192870254	192880253	10000
192880254	192890253	10000
192890254	192900253	10000
192900254	192910253	10000
192910254	192920253	10000
192920254	192930253	10000
192930254	192940253	10000
192940254	192950253	10000
192950254	192960253	10000
192960254	192970253	10000
192970254	192980253	10000
192980254	192990253	10000
192990254	193000253	10000
193000254	193010253	10000
193010254	193020253	10000
193020254	193030253	10000
193030254	193040253	10000
193040254	193050253	10000
193050254	193060253	10000
193060254	193070253	10000
193070254	193080253	10000
193080254	193090253	10000
193090254	193100253	10000
193100254	193110253	10000
193110254	193120253	10000
193120254	193130253	10000
193130254	193140253	10000
193140254	193150253	10000
193150254	193160253	10000
193160254	193170253	10000
193170254	193180253	10000
193180254	193190253	10000
193190254	193200253	10000
193200254	193210253	10000
193210254	193220253	10000
193220254	193230253	10000
193230254	193240253	10000
193240254	193250253	10000
193250254	193260253	10000
193260254	193270253	10000
193270254	193280253	10000
193280254	193290253	10000
193290254	193300253	10000
193300254	193310253	10000
193310254	193320253	10000
193320254	193330253	10000
193330254	193340253	10000
193340254	193350253	10000
193350254	193360253	10000
193360254	193370253	10000
193370254	193380253	10000
193380254	193390253	10000
193390254	193400253	10000
193400254	193410253	10000
193410254	193420253	10000
193420254	193430253	10000
193430254	193440253	10000
193440254	193450253	10000
193450254	193460253	10000
193460254	193470253	10000
193470254	193480253	10000
193480254	193490253	10000
193490254	193500253	10000
193500254	193510253	10000
193510254	193520253	10000
193520254	193530253	10000
193530254	193540253	10000
193540254	193550253	10000
193550254	193560253	10000
193560254	193570253	10000
193570254	193580253	10000
193580254	193590253	10000
193590254	193600253	10000
193600254	193610253	10000
193610254	193620253	10000
193620254	193630253	10000
193630254	193640253	10000
193640254	193650253	10000
193650254	193660253	10000
193660254	193670253	10000
193670254	193680253	10000
193680254	193690253	10000
193690254	193700253	10000
193700254	193710253	10000
193710254	193720253	10000
193720254	193730253	10000
193730254	193740253	10000
193740254	193750253	10000
193750254	193760253	10000
193760254	193770253	10000
193770254	193780253	10000
193780254	193790253	10000
193790254	193800253	10000
193800254	193810253	10000
193810254	193820253	10000
193820254	193830253	10000
193830254	193840253	10000
193840254	193850253	10000
193850254	193860253	10000
193860254	193870253	10000
193870254	193880253	10000
193880254	193890253	10000
193890254	193900253	10000
193900254	193910253	10000
193910254	193920253	10000
193920254	193930253	10000
193930254	193940253	10000
193940254	193950253	10000
193950254	193960253	10000
193960254	193970253	10000
193970254	193980253	10000
193980254	193990253	10000
193990254	194000253	10000
194000254	194010253	10000
194010254	194020253	10000
194020254	194030253	10000
194030254	194040253	10000
194040254	194050253	10000
194050254	194060253	10000
194060254	194070253	10000
194070254	194080253	10000
194080254	194090253	10000
194090254	194100253	10000
194100254	194110253	10000
194110254	194120253	10000
194120254	194130253	10000
194130254	194140253	10000
194140254	194150253	10000
194150254	194160253	10000
194160254	194170253	10000
194170254	194180253	10000
194180254	194190253	10000
194190254	194200253	10000
194200254	194210253	10000
194210254	194220253	10000
194220254	194230253	10000
194230254	194240253	10000
194240254	194250253	10000
194250254	194260253	10000
194260254	194270253	10000
194270254	194280253	10000
194280254	194290253	10000
194290254	194300253	10000
194300254	194310253	10000
194310254	194320253	10000
194320254	194330253	10000
194330254	194340253	10000
194340254	194350253	10000
194350254	194360253	10000
194360254	194370253	10000
194370254	194380253	10000
194380254	194390253	10000
194390254	194400253	10000
194400254	194410253	10000
194410254	194420253	10000
194420254	194430253	10000
194430254	194440253	10000
194440254	194450253	10000
